Identifier,Digital Currency,Family,BitGo Environment,Release status
algo,Algorand,Account,Production,Enterprise access
btc,Bitcoin,UTXO-based,Production,General availability
bch,Bitcoin Cash,UTXO-based,Production,General availability
bsv,Bitcoin SV,UTXO-based,Production,General availability
btg,Bitcoin Gold,UTXO-based,Production,General availability
dash,Dash,UTXO-based,Production,General availability
eth,Ethereum,Account,Production,Enterprise access
ltc,Litecoin,UTXO-based,Production,General availability
rmg,Royal Mint Gold,UTXO-based,Production,Enterprise access
xlm,XLM,Account,Production,General availability
xrp,XRP,Account,Production,Enterprise access
zec,Zcash,UTXO-based,Production,General availability
ae,Aeternity ERC20 Token,Account,Production,Enterprise access
aergo,Aergo ERC20 Token,Account,Production,Enterprise access
agwd,AGARWOOD ERC20 token,Account,Production,Enterprise access
aion,AION ERC20 token,Account,Production,Enterprise access
amn,Amon ERC20 token,Account,Production,Enterprise access
amo,AMO Token ERC20 token,Account,Production,Enterprise access
amon,AmonD ERC20 token,Account,Production,Enterprise access
ampx,Amplify Exchange ERC20 token,Account,Production,Enterprise access
ana,ANA ERC20 token,Account,Productiona,Enterprise access
ant,Aragon ERC20 token,Account,Production,Enterprise access
aoa,Aurora ERC20 Token,Account,Production,Enterprise access
appc,AppCoins ERC20 token,Account,Production,Enterprise access
ast,AirSwap ERC20 token,Account,Production,Enterprise access
audx,eToro Australian Dollar ERC20 token,Account,Production,Enterprise access
axpr,aXpire ERC20 token,Account,Production,Enterprise access
bat,Basic Attention Token ERC20 token,Account,Production,Enterprise access
bax,BABB ERC20 token,Account,Production,Enterprise access
bbx,BBX ERC20 token,Account,Production,Enterprise access
bcap,BCAP ERC20 token,Account,Production,Enterprise access
bcio,Blockchain.io ERC20 Token,Account,Production,Enterprise access
bid,Blockbid ERC20 token,Account,Production,Enterprise access
bidl,Blockbid Liquidity ERC20 token,Account,Production,Enterprise access
bird,BirdCoin ERC20 token,Account,Production,Enterprise access
bnk,Bankera ERC20 token,Account,Production,Enterprise access
bnt,Bancor ERC20 token,Account,Production,Enterprise access
bnty,Bounty0x ERC20 token,Account,Production,Enterprise access
box,ContentBox ERC20 Token,Account,Production,Enterprise access
btt,Blocktrade ERC20 token,Account,Production,Enterprise access
btu,BTU Protocol ERC20 token,Account,Production,Enterprise access
brd,Bread ERC20 token,Account,Production,Enterprise access
buy,Buying.com ERC20 token,Account,Production,Enterprise access
cadx,eToro Canadian Dollar ERC20 token,Account,Production,Enterprise access
cag,Change ERC20 token,Account,Production,Enterprise access
cbat,Compound BAT ERC20 token,Account,Production,Enterprise access
cbc,CashBet Coin ERC20 token,Account,Production,Enterprise access
cdag,CannDollar ERC20 token,Account,Production,Enterprise access
cdai,Compound DAI ERC20 token,Account,Production,Enterprise access
cdt,Blox ERC20 token,Account,Production,Enterprise access
cel,Celsius ERC20 token,Account,Production,Enterprise access
ceth,Compound Ether ERC20 token,Account,Production,Enterprise access
cgld,Coineru Gold ERC20 token,Account,Production,Enterprise access
chfx,eToro Swiss Frank ERC20 token,Account,Production,Enterprise access
chsb,SwissBorg ERC20 token,Account,Production,Enterprise access
cix100,Cryptoindex 100 ERC20 token,Account,Production,Enterprise access
cln,Colu Local Network ERC20 token,Account,Production,Enterprise access
cnyx,eToro Chinese Yuan ERC20 token,Account,Production,Enterprise access
cpay,Cryptopay ERC20 token,Account,Production,Enterprise access
cplt,Coineru Platinum ERC20 token,Account,Production,Enterprise access
cqx,Coinquista Coin ERC20 token,Account,Production,Enterprise access
crep,Compound Augur ERC20 token,Account,Production,Enterprise access
cro,Crypto.com Chain ERC20 token,Account,Production,Enterprise access
crpt,Crypterium ERC20 token,Account,Production,Enterprise access
cslv,Coineru Silver ERC20 token,Account,Production,Enterprise access
cusdc,Compound USDC ERC20 token,Account,Production,Enterprise access
cvc,Civic ERC20 token,Account,Production,Enterprise access
czrx,Compound ZRX ERC20 token,Account,Production,Enterprise access
dai,Dai ERC20 token,Account,Production,Enterprise access
data,Streamr DATACoin ERC20 token,Account,Production,Enterprise access
dent,Dent ERC20 token,Account,Production,Enterprise access
dgd,DigixDAO ERC20 token,Account,Production,Enterprise access
dgx,Digix ERC20 token,Account,Production,Enterprise access
drpu,DRP Utility ERC20 token,Account,Production,Enterprise access
drv,Drive ERC20 Token,Account,Production,Enterprise access
echt,eChat ERC20 token,Account,Production,Enterprise access
edn,Eden ERC20 token,Account,Production,Enterprise access
edr,Endor Protocol ERC20 token,Account,Production,Enterprise access
egl,eGold ERC20 token,Account,Production,Enterprise access
elf,Aelf ERC20 token,Account,Production,Enterprise access
emx,EMX ERC20 token,Account,Production,Enterprise access
enj,Enjin ERC20 token,Account,Production,Enterprise access
ethos,Ethos ERC20 token,Account,Production,Enterprise access
etv,Ecotech Visions ERC20 token,Account,Production,Enterprise access
